"Hot Spots - Method","Self time [%]","Self time","Invocations"
"java.io.ObjectOutputStream.writeObject0(Object, boolean)","0.026263604","97.723 ms","59570"
"java.io.ObjectOutputStream$BlockDataOutputStream.drain()","0.021625957","80.467 ms","135620"
"clojure.lang.PersistentVector$ChunkedSeq.<init>(clojure.lang.PersistentVector, int, int)","0.021624614","80.462 ms","40000"
"java.lang.AbstractStringBuilder.append(String)","0.02052621","76.375 ms","1970"
"java.io.ObjectOutputStream.writeArray(Object, java.io.ObjectStreamClass, boolean)","0.016686229","62.087 ms","3008"
"java.io.ObjectOutputStream.writeNull()","0.015134434","56.313 ms","7272"
"java.lang.String.compareTo(Object)","0.014671906","54.592 ms","137643"
"java.lang.StringBuilder.append(String)","0.014619768","54.398 ms","1970"
"java.io.ObjectStreamClass.checkSerialize()","0.014417394","53.645 ms","16141"
"java.util.Collections$UnmodifiableCollection$1.next()","0.014061562","52.321 ms","21049"
"java.util.HashMap.newValueIterator()","0.013918046","51.787 ms","566"
"java.lang.Thread.getName()","0.01269924","47.252 ms","1187"
"java.io.ObjectStreamClass$FieldReflector.getObjFieldValues(Object, Object[])","0.012440697","46.29 ms","24257"
"java.io.ObjectOutputStream$HandleTable.insert(Object, int)","0.0124380095","46.28 ms","64395"
"java.lang.String.equals(Object)","0.012229992","45.506 ms","193451"
"java.io.ObjectOutputStream$HandleTable.hash(Object)","0.0121654915","45.266 ms","137072"
"java.io.ObjectOutputStream.writeHandle(int)","0.011743276","43.695 ms","47398"
"java.io.ObjectStreamClass.lookup(Class, boolean)","0.01112487","41.394 ms","25552"
"java.io.ObjectOutputStream.writeSerialData(Object, java.io.ObjectStreamClass)","0.010758825","40.032 ms","16141"
"java.io.BufferedInputStream.read1(byte[], int, int)","0.009788886","36.423 ms","7559"
"java.util.TreeMap.put(Object, Object)","0.008840985","32.896 ms","21125"
"clojure.lang.PersistentVector$ChunkedSeq.chunkedFirst()","0.008784276","32.685 ms","40000"
"java.util.TreeMap.writeObject(java.io.ObjectOutputStream)","0.008276866","30.797 ms","2636"
"clojure.core$chunk_rest.invoke(Object)","0.0077189296","28.721 ms","40000"
"java.util.concurrent.ConcurrentHashMap$Segment.get(Object, int)","0.0077060293","28.673 ms","26364"
"java.io.BufferedOutputStream.write(byte[], int, int)","0.006668633","24.813 ms","89695"
"java.util.TreeMap.leftOf(java.util.TreeMap.Entry)","0.0066457884","24.728 ms","54152"
"java.io.ObjectOutputStream$HandleTable.lookup(Object)","0.006253943","23.27 ms","133185"
"java.util.TreeMap$KeyIterator.next()","0.0062434613","23.231 ms","21049"
"clojure.lang.PersistentVector.arrayFor(int)","0.006126015","22.794 ms","40000"
"java.io.ObjectOutputStream.writeOrdinaryObject(Object, java.io.ObjectStreamClass, boolean)","0.0056306985","20.951 ms","16141"
"java.io.ObjectOutputStream.writeObject(Object)","0.005487183","20.417 ms","48090"
"java.io.Bits.putInt(byte[], int, int)","0.005302548","19.73 ms","55433"
"java.lang.reflect.Array.newInstance(Class, int)","0.005178383","19.268 ms","3246"
"java.io.ObjectStreamClass.getReflector(java.io.ObjectStreamField[], java.io.ObjectStreamClass)","0.0051437137","19.139 ms","812"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeInt(int)","0.004979504","18.528 ms","53661"
"clojure.lang.ArrayChunk.<init>(Object[], int)","0.00467151","17.382 ms","40000"
"java.io.ObjectOutputStream$BlockDataOutputStream.getUTFLength(String)","0.0046102335","17.154 ms","8316"
"java.io.ObjectOutputStream.defaultWriteFields(Object, java.io.ObjectStreamClass)","0.004463224","16.607 ms","24257"
"java.io.ObjectStreamClass.processQueue(java.lang.ref.ReferenceQueue, java.util.concurrent.ConcurrentMap)","0.004454893","16.576 ms","26364"
"java.io.ObjectOutputStream$BlockDataOutputStream.write(byte[], int, int, boolean)","0.0043602907","16.224 ms","24257"
"java.io.ObjectInputStream.readNonProxyDesc(boolean)","0.0041235173","15.343 ms","812"
"simple_example$test_concur$fn__5672$fn__5673.invoke()","0.0039418386","14.667 ms","10"
"java.io.ObjectInputStream$HandleTable.markDependency(int, int)","0.0038397112","14.287 ms","3102"
"java.io.ObjectOutputStream.writeNonProxyDesc(java.io.ObjectStreamClass, boolean)","0.0035150545","13.079 ms","1601"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeByte(int)","0.0029162671","10.851 ms","88592"
"java.util.TreeMap.setColor(java.util.TreeMap.Entry, boolean)","0.0029060543","10.813 ms","52278"
"java.io.ObjectInputStream$BlockDataInputStream.readLong()","0.0028665473","10.666 ms","2378"
"java.lang.StringBuilder.append(char[], int, int)","0.0028060772","10.441 ms","2144"
"java.lang.ref.WeakReference.<init>(Object, java.lang.ref.ReferenceQueue)","0.0025757537","9.584 ms","26364"
"clojure.lang.PersistentVector$ChunkedSeq.chunkedMore()","0.0024561575","9.139 ms","40000"
"java.lang.StringBuilder.toString()","0.0024322383","9.05 ms","3965"
"java.io.ObjectStreamClass.writeNonProxy(java.io.ObjectOutputStream)","0.002342205","8.715 ms","1601"
"java.lang.String.substring(int, int)","0.0023408614","8.71 ms","3682"
"java.io.ObjectStreamClass$WeakClassKey.<init>(Class, java.lang.ref.ReferenceQueue)","0.0022011085","8.19 ms","25552"
"java.io.ObjectOutputStream$ReplaceTable.lookup(Object)","0.0020487239","7.623 ms","59570"
"clojure.lang.PersistentVector$ChunkedSeq.chunkedNext()","0.0018060376","6.72 ms","40000"
"java.lang.Thread.start()","0.001785881","6.645 ms","2"
"java.util.TreeMap$PrivateEntryIterator.nextEntry()","0.0017576617","6.54 ms","43885"
"clojure.core$chunk_first.invoke(Object)","0.0016756912","6.235 ms","40000"
"java.util.Collections$UnmodifiableCollection$1.<init>(java.util.Collections.UnmodifiableCollection)","0.0013819413","5.142 ms","2860"
"java.io.ObjectOutputStream.writeClassDesc(java.io.ObjectStreamClass, boolean)","0.001354797","5.041 ms","20750"
"clojure.lang.PersistentVector.tailoff()","0.0013214713","4.917 ms","40000"
"java.io.ObjectStreamClass.getClassDataLayout0()","0.0012158504","4.524 ms","503"
"java.io.ObjectOutputStream$HandleTable.assign(Object)","0.0011448988","4.26 ms","26217"
"java.io.ObjectStreamClass.getPrimFieldValues(Object, byte[])","0.0011142608","4.146 ms","24257"
"java.io.ObjectStreamClass$FieldReflector.getPrimFieldValues(Object, byte[])","0.0010895352","4.054 ms","24257"
"clojure.lang.RT.intCast(Object)","0.0010247651","3.813 ms","60020"
"java.util.TreeMap.successor(java.util.TreeMap.Entry)","0.0010175087","3.786 ms","43885"
"java.util.TreeMap.get(Object)","0.0010164337","3.782 ms","23097"
"java.io.ObjectInputStream.readObject()","9.782704E-4","3.64 ms","2552"
"java.io.ObjectStreamClass.getObjFieldValues(Object, Object[])","9.6510135E-4","3.591 ms","24257"
"java.util.TreeMap$EntryIterator.next()","9.3688205E-4","3.486 ms","22836"
"java.io.ObjectOutputStream$HandleTable.growSpine()","9.2935684E-4","3.458 ms","199"
"java.util.Collections$UnmodifiableCollection$1.hasNext()","9.212942E-4","3.428 ms","23763"
"java.util.TreeMap$PrivateEntryIterator.hasNext()","8.8447466E-4","3.291 ms","49235"
"javax.management.ObjectName.setCanonicalName(char[], char[], String[], java.util.Map, int, int)","8.76412E-4","3.261 ms","420"
"java.io.BufferedInputStream.fill()","8.7076816E-4","3.24 ms","923"
"java.io.ObjectStreamClass.initNonProxy(java.io.ObjectStreamClass, Class, ClassNotFoundException, java.io.ObjectStreamClass)","8.691556E-4","3.234 ms","812"
"java.io.ObjectInputStream.readSerialData(Object, java.io.ObjectStreamClass)","8.624367E-4","3.209 ms","503"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeBytes(String)","8.339486E-4","3.103 ms","8316"
"java.io.ObjectInputStream$BlockDataInputStream.readUTFBody(long)","8.309923E-4","3.092 ms","2144"
"java.io.ObjectInputStream$PeekInputStream.read(byte[], int, int)","8.29111E-4","3.085 ms","8561"
"java.io.ObjectStreamClass$Caches.access$200()","8.288423E-4","3.084 ms","51104"
"java.io.ObjectOutputStream.writeString(String, boolean)","8.26961E-4","3.077 ms","5467"
"java.util.TreeMap$EntryIterator.next()","7.9229154E-4","2.948 ms","22836"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeUTF(String, long)","7.5009686E-4","2.791 ms","8316"
"java.io.BufferedInputStream.read(byte[], int, int)","7.414967E-4","2.759 ms","7556"
"java.lang.String.getChars(int, int, char[], int)","7.414967E-4","2.759 ms","19335"
"java.io.ObjectInputStream.defaultReadFields(Object, java.io.ObjectStreamClass)","7.366591E-4","2.741 ms","546"
"java.io.BufferedInputStream.read()","6.9634576E-4","2.591 ms","7657"
"java.io.ObjectStreamClass.readNonProxy(java.io.ObjectInputStream)","6.893581E-4","2.565 ms","812"
"clojure.lang.ArrayChunk.<init>(Object[], int, int)","6.5845123E-4","2.45 ms","40000"
"java.util.concurrent.ConcurrentHashMap$Segment.getFirst(int)","6.01475E-4","2.238 ms","26364"
"clojure.lang.PersistentVector.chunkedSeq()","5.998625E-4","2.232 ms","10000"
"java.lang.AbstractStringBuilder.append(char[], int, int)","5.724494E-4","2.13 ms","2144"
"java.io.ObjectStreamClass$WeakClassKey.equals(Object)","5.6680554E-4","2.109 ms","25552"
"clojure.lang.ArrayChunk.count()","5.6573056E-4","2.105 ms","40000"
"java.util.Arrays.copyOfRange(char[], int, int)","5.544428E-4","2.063 ms","4882"
"java.io.ObjectStreamClass.invokeWriteObject(Object, java.io.ObjectOutputStream)","5.4234883E-4","2.018 ms","2734"
"java.util.concurrent.ConcurrentHashMap.hash(int)","5.369737E-4","1.998 ms","26364"
"java.io.ObjectInputStream.readNull()","5.297173E-4","1.971 ms","1979"
"java.io.ObjectOutputStream.defaultWriteObject()","5.28911E-4","1.968 ms","2735"
"java.lang.ref.Reference.<init>(Object, java.lang.ref.ReferenceQueue)","5.0230423E-4","1.869 ms","26422"
"java.util.TreeMap$Entry.<init>(Object, Object, java.util.TreeMap.Entry)","5.020355E-4","1.868 ms","21125"
"java.io.ObjectInputStream.readOrdinaryObject(boolean)","5.0096045E-4","1.864 ms","503"
"java.lang.Long.<init>(long)","4.8591013E-4","1.808 ms","8303"
"java.lang.ref.SoftReference.get()","4.848351E-4","1.804 ms","26364"
"clojure.lang.PersistentVector.seq()","4.837601E-4","1.8 ms","10000"
"clojure.lang.RT.intCast(int)","4.7247234E-4","1.758 ms","40000"
"java.io.ObjectInputStream$PeekInputStream.peek()","4.3753412E-4","1.628 ms","7753"
"java.io.ObjectInputStream.readString(boolean)","4.369966E-4","1.626 ms","1164"
"java.io.ObjectInputStream.skipCustomData()","4.2893394E-4","1.596 ms","1231"
"java.io.ObjectStreamClass.hasWriteReplaceMethod()","4.2651515E-4","1.587 ms","24172"
"java.io.ObjectInputStream.readArray(boolean)","4.2409633E-4","1.578 ms","267"
"javax.management.ObjectName.readObject(java.io.ObjectInputStream)","4.181837E-4","1.556 ms","420"
"java.net.PlainSocketImpl.releaseFD()","4.1173358E-4","1.532 ms","1875"
"java.lang.StringBuilder.<init>()","4.0823975E-4","1.519 ms","3965"
"java.lang.AbstractStringBuilder.append(long)","4.020584E-4","1.496 ms","383"
"java.io.ObjectStreamClass$FieldReflectorKey.<init>(Class, java.io.ObjectStreamField[], java.lang.ref.ReferenceQueue)","3.9507073E-4","1.47 ms","812"
"java.io.ObjectInputStream$BlockDataInputStream.readShort()","3.8593303E-4","1.436 ms","2462"
"java.io.ObjectStreamClass.hasWriteObjectMethod()","3.83783E-4","1.428 ms","24256"
"java.util.TreeMap.keyIterator()","3.730328E-4","1.388 ms","2860"
